xi, yi, zi, yawi, xi+1, yi+1, zi+1, yawi+1, vi
-23.543,-107.525,-12.204,-140,-30.363,-121.591,-14.296,-180,9
-30.363,-121.591,-14.296,-180,-42.622,-129.736,-13.176,-180,7
-42.622,-129.736,-13.176,-180,-63.625,-130.988,-14.524,-190,7
-63.625,-130.988,-14.524,-190,-79.791,-130.85,-14.264,-240,8
-79.791,-130.85,-14.264,-240,-94.788,-120.323,-12.477,90,7
-94.788,-120.323,-12.477,90,-100.178,-106.362,-12.191,90,8
-100.178,-106.362,-12.191,90,-98.832,-90.578,-12.907,90,7
-98.832,-90.578,-12.907,90,-100.137,-77.64,-15.282,90,7
-100.137,-77.64,-15.282,90,-100.493,-64.421,-17.265,90,7
-100.493,-64.421,-17.265,90,-101.085,-44.971,-20.489,90,7
-101.085,-44.971,-20.489,90,-100.414,-30.443,-21.283,90,8
-100.414,-30.443,-21.283,90,-100.052,-11.297,-20.666,70,7
-100.052,-11.297,-20.666,70,-96.154,8.043,-24.128,60,8
-96.154,8.043,-24.128,60,-88.507,24.923,-23.203,40,8
-88.507,24.923,-23.203,40,-77.957,36.615,-24.002,30,8
-77.957,36.615,-24.002,30,-64.379,46.08,-22.124,30,7
-64.379,46.08,-22.124,30,-54.605,51.047,-18.827,30,7
-54.605,51.047,-18.827,30,-46.001,58.294,-16.399,10,6
-46.001,58.294,-16.399,10,-33.791,61.711,-13.602,0,6
-33.791,61.711,-13.602,0,-20.816,67.281,-11.098,-20,6
-20.816,67.281,-11.098,-20,-8.91,65.105,-10.188,-50.001,7
-8.910,65.105,-10.188,-50.001,2.829,60.663,-9.16,-60,5
2.829,60.663,-9.16,-60,8.257,52.019,-6.104,-80,6
8.257,52.019,-6.104,-80,13.421,43.316,-4.195,-90,6
13.421,43.316,-4.195,-90,14.957,33.972,-5.278,-90,6
14.957,33.972,-5.278,-90,15.979,23.053,-3.504,-100,6
15.979,23.053,-3.504,-100,15.432,14.483,-4.317,-130,6
15.432,14.483,-4.317,-130,11.072,7.75,-2.16,-160,6
6.414,0.811,0.556,-180,0,0,-1,-180,6
-19.281,-0.63,-4.893,-210,-32.834,-0.88,-4.547,-230,9
-32.834,-0.88,-4.547,-230,-44.644,6.209,-4.171,-250,7
-44.644,6.209,-4.171,-250,-53.191,17.964,-4.458,-250,7
-53.191,17.964,-4.458,-250,-58.276,30.196,-4.969,-250,7
-58.276,30.196,-4.969,-250,-64.13,44.313,-7.051,-230,7
-64.130,44.313,-7.051,-230,-68.846,56.729,-10.886,-230,7
-68.846,56.729,-10.886,-230,-76.992,65.138,-12.265,-220,7
-76.992,65.138,-12.265,-220,-86.553,77.135,-13.676,-210,7
-86.553,77.135,-13.676,-210,-96.163,85.013,-18.193,-200,7
-96.163,85.013,-18.193,-200,-103.706,90.884,-20.06,-190,7
-103.706,90.884,-20.06,-190,-115.085,96.343,-21.363,-180,6
-115.085,96.343,-21.363,-180,-126.233,98.612,-20.528,-150,7
-126.233,98.612,-20.528,-150,-139.498,98.043,-20.598,-140,5
-139.498,98.043,-20.598,-140,-148.27,90.753,-18.1,-120,7
-148.270,90.753,-18.1,-120,-154.402,83.625,-16.069,-100,7
-154.402,83.625,-16.069,-100,-160.311,71.055,-14.681,-70,6
-160.311,71.055,-14.681,-70,-155.692,57.429,-11.168,-70,6
-155.692,57.429,-11.168,-70,-147.102,42.43,-10.655,-79.999,7
-147.102,42.43,-10.655,-79.999,-139.266,23.316,-9.44,-90,8
-139.266,23.316,-9.44,-90,-135.12,3.849,-10.35,-110,8
-135.120,3.849,-10.35,-110,-138.252,-8.923,-9.55,-110,8
-138.252,-8.923,-9.55,-110,-143.791,-23.499,-9.895,-110,7
-143.791,-23.499,-9.895,-110,-148.821,-38.465,-11.484,-140,7
-148.821,-38.465,-11.484,-140,-152.518,-51.066,-10.631,-170,7
-152.518,-51.066,-10.631,-170,-164.13,-58.474,-10.994,-210,7
-164.130,-58.474,-10.994,-210,-177.783,-56.047,-10,-260,6
-177.783,-56.047,-10,-260,-182.411,-47.677,-10.837,50,6
-182.411,-47.677,-10.837,50,-180.691,-38.721,-11.913,20,4
-180.691,-38.721,-11.913,20,-175.093,-30.742,-14.263,0,4
-175.093,-30.742,-14.263,0,-165.698,-25.971,-15.778,-10,6
-165.698,-25.971,-15.778,-10,-146.14,-25.002,-16.237,-30,6
-146.140,-25.002,-16.237,-30,-130.669,-31.085,-16.146,-30,8
-130.669,-31.085,-16.146,-30,-121.057,-37.83,-16.216,-30,8
-121.057,-37.83,-16.216,-30,-105.371,-47.573,-14.082,-30,7
-105.371,-47.573,-14.082,-30,-90.784,-56.177,-14.014,0,8
-90.784,-56.177,-14.014,0,-79.544,-59.445,-13.709,0,8
-79.544,-59.445,-13.709,0,-65.148,-58.592,-12.487,0,7
-65.148,-58.592,-12.487,0,-50.166,-60.587,-13.01,-30,7
-50.166,-60.587,-13.01,-30,-34.063,-58.12,-13.849,-80,7
-34.063,-58.12,-13.849,-80,-22.138,-69.133,-13.842,-90,8
-22.138,-69.133,-13.842,-90,-23.373,-84.005,-13.37,-90,8
-23.373,-84.005,-13.37,-90,-24.206,-106.618,-14.086,-140,7
-24.206,-106.618,-14.086,-140,-28.604,-122.868,-12.535,-180,9
-28.604,-122.868,-12.535,-180,-42.27,-132.215,-12.759,-180,8
-42.270,-132.215,-12.759,-180,-61.834,-129.997,-13.726,-190,8
-61.834,-129.997,-13.726,-190,-81.068,-128.751,-13.994,-240,8
-81.068,-128.751,-13.994,-240,-94.007,-121.718,-12.613,90,8
-94.007,-121.718,-12.613,90,-100.806,-106.643,-14.552,90,7
-100.806,-106.643,-14.552,90,-101.126,-91.639,-13.594,90,8
-101.126,-91.639,-13.594,90,-99.55,-77.349,-15.578,90,7
-99.550,-77.349,-15.578,90,-100.411,-63.739,-15.763,90,7
-100.411,-63.739,-15.763,90,-101.006,-45.548,-18.988,90,7
-101.006,-45.548,-18.988,90,-100.065,-30.059,-23.117,90,8
-100.065,-30.059,-23.117,90,-99.685,-9.915,-22.304,70,7
-99.685,-9.915,-22.304,70,-95.101,9.348,-24.505,60,8
-95.101,9.348,-24.505,60,-87.793,26,-24.123,40,8
-87.793,26,-24.123,40,-78.995,38.615,-23.109,30,8
-78.995,38.615,-23.109,30,-66.214,46.455,-22.727,30,7
-66.214,46.455,-22.727,30,-55.781,52.646,-20.712,30,7
-55.781,52.646,-20.712,30,-45.198,56.911,-15.728,10,7
-45.198,56.911,-15.728,10,-32.227,63.125,-13.491,0,7
-32.227,63.125,-13.491,0,-19.495,66.925,-11.153,-20,7
-19.495,66.925,-11.153,-20,-8.29,64.371,-10.132,-50.001,7
-8.290,64.371,-10.132,-50.001,3.403,60.179,-8.941,-60,5
3.403,60.179,-8.941,-60,8.334,53.627,-4.96,-80,7
8.334,53.627,-4.96,-80,13.572,44.52,-6.165,-90,6
13.572,44.52,-6.165,-90,15.782,34.371,-3.137,-90,6
15.782,34.371,-3.137,-90,15.63,24.498,-2.532,-100,6
15.630,24.498,-2.532,-100,13.682,13.43,-3.17,-130,6
13.682,13.43,-3.17,-130,10.895,6.865,-1.854,-160,7
10.895,6.865,-1.854,-160,7.125,2.443,-0.376,-180,4
7.125,2.443,-0.376,-180,0,0,-1,-180,6
-19.277,-0.04,-2.519,-210,-33.71,0.975,-3.031,-230,9
-33.710,0.975,-3.031,-230,-44.902,8.289,-3.728,-250,7
-44.902,8.289,-3.728,-250,-53.588,17.345,-5.948,-250,7
-53.588,17.345,-5.948,-250,-57.542,30.629,-6.076,-250,7
-57.542,30.629,-6.076,-250,-64.321,42.968,-8.562,-230,7
-64.321,42.968,-8.562,-230,-68.527,56.998,-8.461,-230,7
-68.527,56.998,-8.461,-230,-75.625,66.477,-13.24,-220,7
-75.625,66.477,-13.24,-220,-86.161,75.967,-14.881,-210,7
-86.161,75.967,-14.881,-210,-94.875,86.328,-17.751,-200,7
-94.875,86.328,-17.751,-200,-104.425,91.282,-18.616,-190,7
-104.425,91.282,-18.616,-190,-114.808,95.128,-21.239,-180,6
-114.808,95.128,-21.239,-180,-126.211,97.612,-21.631,-150,6
