dy, dz, xi, yi, zi, yawi, xi+1, yi+1, zi+1, yawi+1, vi
0,0,-100.969,-62.738,-17.592,90,-101.334,-45.081,-19.538,90,7
0,0,-101.334,-45.081,-19.538,90,-99.995,-29.553,-20.715,90,8
0,0,-99.995,-29.553,-20.715,90,-100.231,-10.085,-22.559,70,7
0,0,-100.231,-10.085,-22.559,70,-96.067,8.897,-23.222,60,8
0,0,-96.067,8.897,-23.222,60,-88.435,24.447,-23.195,40,8
0,0,-88.435,24.447,-23.195,40,-78.464,38.164,-22.233,30,8
0,0,-78.464,38.164,-22.233,30,-65.423,46.949,-21.83,30,8
0,0,-65.423,46.949,-21.83,30,-56.818,51.297,-19.527,30,7
0,0,-56.818,51.297,-19.527,30,-45.8,57.58,-15.864,10,6
0,0,-45.8,57.58,-15.864,10,-34.309,63.731,-13.498,0,7
0,0,-34.309,63.731,-13.498,0,-20.527,65.124,-11.722,-20,7
0,0,-20.527,65.124,-11.722,-20,-6.609,65.647,-11.091,-50.001,7
0,0,-6.609,65.647,-11.091,-50.001,3.724,60.91,-8.695,-60,6
0,0,3.724,60.91,-8.695,-60,9.252,53.112,-4.898,-80,7
0,0,9.252,53.112,-4.898,-80,14.537,45.163,-5.686,-90,6
47,41,14.537,45.163,-5.686,-90,15.904,33.981,-4.858,-90,6
-8,47,15.904,33.981,-4.858,-90,15.417,24.872,-4.944,-100,7
-14,45,15.417,24.872,-4.944,-100,14.708,15.641,-4.184,-130,6
0,54,14.708,15.641,-4.184,-130,12.018,5.673,-3.947,-160,6
14,53,12.018,5.673,-3.947,-160,7.203,2.097,-1.052,-180,5
0,0,7.203,2.097,-1.052,-180,0,0,-1,-180,6
0,0,-21.108,-0.333,-4.306,-210,-33.596,0.339,-4.96,-230,9
27,55,-33.596,0.339,-4.96,-230,-44.532,7.711,-3.525,-250,7
7,69,-44.532,7.711,-3.525,-250,-55.204,17.075,-4.579,-250,7
13,55,-55.204,17.075,-4.579,-250,-58.131,30.198,-7.514,-250,7
2,40,-58.131,30.198,-7.514,-250,-64.375,42.38,-6.806,-230,7
30,54,-64.375,42.38,-6.806,-230,-69.565,56.812,-9.952,-230,7
0,0,-69.565,56.812,-9.952,-230,-77.247,65.151,-11.942,-220,7
16,32,-77.247,65.151,-11.942,-220,-84.447,76.45,-13.489,-210,7
6,40,-84.447,76.45,-13.489,-210,-95.636,86.158,-16.842,-200,7
0,0,-95.636,86.158,-16.842,-200,-105.102,90.274,-19.741,-190,7
44,24,-105.102,90.274,-19.741,-190,-114.944,96.006,-19.861,-180,6
-65,57,-114.944,96.006,-19.861,-180,-126.054,96.834,-20.745,-150,7
21,52,-126.054,96.834,-20.745,-150,-138.085,98.543,-19.948,-140,5
0,0,-138.085,98.543,-19.948,-140,-149.887,91.433,-17.221,-120,7
98,-3,-149.887,91.433,-17.221,-120,-155.71,83.227,-14.439,-100,7
0,0,-155.71,83.227,-14.439,-100,-161.13,69.484,-12.694,-70,6
0,0,-161.13,69.484,-12.694,-70,-156.006,56.135,-10.237,-70,7
0,0,-156.006,56.135,-10.237,-70,-146.618,42.579,-9.532,-79.999,7
0,0,-146.618,42.579,-9.532,-79.999,-138.16,24.909,-11.051,-90,7
0,0,-138.16,24.909,-11.051,-90,-134.796,4.215,-10.383,-110,8
0,0,-134.796,4.215,-10.383,-110,-137.795,-8.3,-9.55,-110,8
-45,69,-137.795,-8.3,-9.55,-110,-141.767,-24.849,-10.066,-110,7
0,0,-141.767,-24.849,-10.066,-110,-148.983,-39.008,-10.164,-140,8
0,0,-148.983,-39.008,-10.164,-140,-153.256,-48.842,-10.228,-170,7
0,0,-153.256,-48.842,-10.228,-170,-163.273,-57.568,-9.724,-210,6
-120,-31,-163.273,-57.568,-9.724,-210,-178.193,-56.304,-10.66,-260,6
0,0,-178.193,-56.304,-10.66,-260,-182.541,-47.606,-10.228,50,7
-51,45,-182.541,-47.606,-10.228,50,-181.41,-37.548,-12.745,20,4
21,22,-181.41,-37.548,-12.745,20,-173.849,-28.505,-13.425,0,5
44,39,-173.849,-28.505,-13.425,0,-165.116,-25.915,-14.903,-10,7
-20,37,-165.116,-25.915,-14.903,-10,-146.99,-26.784,-16.682,-30,6
0,0,-146.99,-26.784,-16.682,-30,-132.029,-32.559,-16.871,-30,8
0,0,-132.029,-32.559,-16.871,-30,-120.332,-38.997,-14.711,-30,7
0,0,-120.332,-38.997,-14.711,-30,-104.573,-47.45,-15.042,-30,7
0,0,-104.573,-47.45,-15.042,-30,-91.765,-54.4,-12.788,0,8
0,0,-91.765,-54.4,-12.788,0,-79.143,-58.856,-12.438,0,7
11,64,-79.143,-58.856,-12.438,0,-65.533,-58.732,-12.407,0,7
16,69,-65.533,-58.732,-12.407,0,-50.681,-60.502,-12.716,-30,7
0,0,-50.681,-60.502,-12.716,-30,-34.654,-60.043,-13.011,-80,7
0,0,-34.654,-60.043,-13.011,-80,-23.508,-69.996,-12.242,-90,7
0,0,-23.508,-69.996,-12.242,-90,-22.412,-86.39,-13.436,-90,7
0,0,-22.412,-86.39,-13.436,-90,-24.611,-107.126,-13.675,-140,7
0,0,-24.611,-107.126,-13.675,-140,-28.917,-123.031,-12.346,-180,8
0,0,-28.917,-123.031,-12.346,-180,-40.745,-130.881,-13.826,-180,7
0,0,-40.745,-130.881,-13.826,-180,-63.51,-130.697,-12.458,-190,7
0,0,-63.51,-130.697,-12.458,-190,-80.448,-131.03,-13.248,-240,8
0,0,-80.448,-131.03,-13.248,-240,-93.713,-119.366,-14.081,90,8
0,0,-93.713,-119.366,-14.081,90,-99.697,-105.575,-14.208,90,8
0,0,-99.697,-105.575,-14.208,90,-100.824,-91.978,-14.173,90,7
4,65,-100.824,-91.978,-14.173,90,-100.391,-75.218,-14.149,90,7
0,0,-100.391,-75.218,-14.149,90,-100.672,-62.458,-16.418,90,7
5,49,-100.672,-62.458,-16.418,90,-100.32,-46.326,-18.816,90,7
0,0,-100.32,-46.326,-18.816,90,-99.106,-30.515,-21.335,90,7
0,0,-99.106,-30.515,-21.335,90,-101.097,-11.968,-21.522,70,7
0,0,-101.097,-11.968,-21.522,70,-95.148,9.145,-24.696,60,8
0,0,-95.148,9.145,-24.696,60,-87.993,24.636,-25.783,40,8
0,0,-87.993,24.636,-25.783,40,-77.202,38.766,-23.476,30,8
0,0,-77.202,38.766,-23.476,30,-64.418,46.623,-21.585,30,8
0,0,-64.418,46.623,-21.585,30,-55.13,51.111,-21.065,30,7
-16,70,-55.13,51.111,-21.065,30,-46.145,58.274,-17.903,10,6
0,0,-46.145,58.274,-17.903,10,-32.311,63.003,-13.462,0,7
0,0,-32.311,63.003,-13.462,0,-21.611,66.541,-11.931,-20,7
0,0,-21.611,66.541,-11.931,-20,-7.207,65.176,-11.425,-50.001,7
